Filename,Entropy,StdDev,Kurtosis
HPI_export_20250507_121642_682011.csv,6.13218159992902,3.5033641646031013,-1.669917622188083
HPI_export_20250507_121642_904455.csv,6.191280681732803,3.4444814908729984,-1.652014777587675
HPI_export_20250507_121643_126395.csv,6.196549765125059,3.4712828998620684,-1.6071860284160218
HPI_export_20250507_121643_363604.csv,6.1260411443199105,3.4612988951386936,-1.6523761497488323
HPI_export_20250507_121643_594224.csv,6.150210465331052,3.429713584250218,-1.6483842190145435
HPI_export_20250507_121643_821529.csv,6.018416315335791,3.484776673477638,-1.685324094776837
HPI_export_20250507_121644_054593.csv,6.150596456065647,3.4791527959214266,-1.6282859417989692
HPI_export_20250507_121644_298622.csv,6.139934575551905,3.4744070973669454,-1.6286581048718085
HPI_export_20250507_121644_535425.csv,6.0976496400199975,3.5046322436537807,-1.6637940643408464
HPI_export_20250507_121644_764951.csv,6.167502572429864,3.435927477985822,-1.6458771726000805
HPI_export_20250507_121644_997772.csv,6.086313189531263,3.513572802743476,-1.677382728011515
HPI_export_20250507_121645_232653.csv,6.1594447248714115,3.3838403264837487,-1.6282005447471035
