Bias_Strength,Entropy,Drift,Bin_Centers,Probabilities,Entropy_Gradient,Potential
0.05,4.414999453459578,0.3256946892922449,"[-3.5450456778572814, -3.274222412716524, -3.0033991475757666, -2.732575882435009, -2.4617526172942514, -2.1909293521534936, -1.9201060870127362, -1.6492828218719788, -1.3784595567312214, -1.107636291590464, -0.8368130264497065, -0.5659897613089488, -0.29516649616819146, -0.024343231027433854, 0.24648003411332375, 0.5173032992540811, 0.7881265643948385, 1.058949829535596, 1.3297730946763533, 1.6005963598171107, 1.8714196249578685, 2.1422428900986263, 2.4130661552393837, 2.683889420380141, 2.9547126855208985, 3.225535950661656, 3.4963592158024133, 3.767182480943171, 4.038005746083929, 4.308829011224686, 4.579652276365444]","[0.095, 0.056, 0.066, 0.035, 0.062, 0.028, 0.029, 0.022, 0.035, 0.009, 0.0, 0.007, 0.009, 0.066, 0.028, 0.0, 0.0, 0.0, 0.017, 0.003, 0.0, 0.017, 0.089, 0.021, 0.04, 0.047, 0.038, 0.027, 0.05, 0.045, 0.059]","[-0.039, -0.014499999999999999, -0.010499999999999999, -0.0020000000000000018, -0.0035000000000000014, -0.0165, -0.003000000000000001, 0.003000000000000001, -0.0065, -0.0175, -0.0009999999999999996, 0.0045, 0.029500000000000002, 0.009500000000000001, -0.033, -0.014, 0.0, 0.0085, 0.0015, -0.0085, 0.007000000000000001, 0.0445, 0.002, -0.024499999999999997, 0.013, -0.0010000000000000009, -0.01, 0.006000000000000002, 0.009, 0.004499999999999997, 0.013999999999999999]","[0.0, 0.528525200858061, 0.36422214956948995, 0.9985288300930821, 0.42674250654984647, 1.221672381400149, 1.1865810615901102, 1.4628344382072966, 0.9985288300930821, 2.3566523141637368, 25.27714272855748, 2.6079667424128963, 2.3566523141637368, 0.36422214956948995, 1.221672381400149, 25.27714272855748, 25.27714272855748, 25.27714272855748, 1.7206635474960277, 3.4552646026096236, 25.27714272855748, 1.7206635474960277, 0.06524052186769147, 1.5093544538400252, 0.8649974374721308, 0.7037292898797318, 0.9162907318583655, 1.2580400255697013, 0.641853886162921, 0.7472144018185252, 0.47633944768839864]"
0.1,4.418040035212302,0.5046513951475569,"[-3.550888952558449, -3.279897985576445, -3.0089070185944404, -2.7379160516124363, -2.4669250846304323, -2.195934117648428, -1.9249431506664236, -1.6539521836844195, -1.3829612167024155, -1.1119702497204114, -0.840979282738407, -0.5699883157564027, -0.29899734877439865, -0.02800638179239434, 0.24298458518960997, 0.5139755521716141, 0.7849665191536181, 1.0559574861356222, 1.3269484531176263, 1.5979394200996304, 1.868930387081635, 2.1399213540636395, 2.4109123210456436, 2.6819032880276477, 2.9528942550096517, 3.223885221991656, 3.49487618897366, 3.7658671559556645, 4.036858122937669, 4.307849089919673, 4.578840056901676]","[0.084, 0.052, 0.085, 0.022, 0.06, 0.039, 0.031, 0.015, 0.034, 0.011, 0.0, 0.009, 0.009, 0.044, 0.015, 0.0, 0.0, 0.0, 0.019, 0.004, 0.0, 0.012, 0.071, 0.035, 0.028, 0.056, 0.042, 0.041, 0.062, 0.06, 0.06]","[-0.03200000000000001, 0.0005000000000000004, -0.015, -0.012500000000000004, 0.0085, -0.014499999999999999, -0.012, 0.0015000000000000013, -0.002, -0.017, -0.001, 0.0045, 0.017499999999999998, 0.003, -0.022, -0.0075, 0.0, 0.0095, 0.002, -0.0095, 0.004, 0.0355, 0.011500000000000002, -0.0215, 0.010499999999999999, 0.007000000000000001, -0.0075, 0.009999999999999998, 0.009499999999999998, -0.0010000000000000009, 0.0]","[0.011834457646862528, 0.4914075379014231, 0.0, 1.3516088030983107, 0.34830669426331395, 0.7790896103467939, 1.008664051984677, 1.7346010553332047, 0.9162907318565079, 2.0447559836128018, 25.165917093448492, 2.245426679054751, 2.245426679054751, 0.6584616225610929, 1.7346010553332047, 25.165917093448492, 25.165917093448492, 25.165917093448492, 1.498212277283009, 3.05635689513219, 25.165917093448492, 1.9577446066307478, 0.1799713794466813, 0.8873031949840962, 1.1104467462911631, 0.417299565749075, 0.7049816381949032, 0.7290791897733833, 0.3155168714408605, 0.34830669426331395, 0.34830669426331395]"
