Filename,Entropy,StdDev,Kurtosis
HPI_export_20250507_114052_696064,6.123258760987326,3.4695691262501684,-1.649033128693029
HPI_export_20250507_114052_924770,6.042959557302718,3.5966303021679606,-1.6867853736857708
HPI_export_20250507_114053_161643,6.08509570789537,3.511229200276607,-1.6681635948665643
HPI_export_20250507_114053_418418,6.095987822073321,3.550286258031517,-1.6705607493865542
HPI_export_20250507_114053_655643,6.068597342683433,3.590534318086028,-1.667113841162034
HPI_export_20250507_114053_902520,6.2911846830151745,3.4126792419122944,-1.6044859510121137
HPI_export_20250507_114054_179178,6.168529811953163,3.4639021510601427,-1.6566852855582157
HPI_export_20250507_114054_416749,6.177446177450562,3.4530156414894053,-1.649084243393533
HPI_export_20250507_114054_654459,6.050063111905246,3.498058821251184,-1.6520702260415656
HPI_export_20250507_114054_889175,6.245649154655325,3.403272040366729,-1.609960689130569
HPI_export_20250507_114055_131938,6.14531500192172,3.4436006703077204,-1.6431408658263364
HPI_export_20250507_114055_377478,6.14311865444633,3.400515002273165,-1.6275904127564693
HPI_export_20250507_114055_606638,6.279591128459532,3.4451901131307343,-1.6264957663185358
HPI_export_20250507_114055_848854,6.144241479829212,3.447582341626097,-1.638343538545853
HPI_export_20250507_114056_088768,6.1585191673053625,3.479941090970347,-1.6447400420959963
HPI_export_20250507_114056_318962,6.173450696798473,3.517514217667515,-1.6406031918521025
HPI_export_20250507_114056_556767,6.050179214107065,3.428867790135203,-1.6727550936834004
HPI_export_20250507_114056_798496,6.06003187206598,3.537958911263077,-1.6660073373368423
HPI_export_20250507_114057_078422,6.1839807457182525,3.4127243339693907,-1.5495101535494344
HPI_export_20250507_114057_327229,6.167681401442012,3.448992209071337,-1.6259594518258573
HPI_export_20250507_114057_559779,6.050479178253009,3.4666622703327814,-1.6691651598144701
HPI_export_20250507_114057_795101,6.103470877827736,3.5506376942773024,-1.6698304127716304
HPI_export_20250507_114058_042140,6.050239733734477,3.5371524515446042,-1.6797900836911352
HPI_export_20250507_114058_266030,6.200564242543977,3.4775719813248256,-1.630119194375103
HPI_export_20250507_114058_516238,6.266591646593721,3.4064686924763645,-1.6294819020942481
HPI_export_20250507_114058_763539,6.230032173393736,3.4156078866298296,-1.570822087163226
HPI_export_20250507_114059_012452,6.091235324944481,3.5102493228621245,-1.6654300226618515
HPI_export_20250507_114059_255405,6.0852161163184775,3.45455093550874,-1.6103458290507426
HPI_export_20250507_114059_479564,6.225509276175624,3.4209080922776107,-1.6209111459799508
HPI_export_20250507_114059_716222,6.1851781915520805,3.3739763407804233,-1.6349078508074333
HPI_export_20250507_114059_972021,6.0750920807512445,3.4731944854028396,-1.6297939238272714
HPI_export_20250507_114100_221697,6.179866476797814,3.4595775356901903,-1.6627803280561224
HPI_export_20250507_114100_458027,6.173152742829124,3.4571117573368793,-1.654064519878636
HPI_export_20250507_114100_717595,6.112166791700485,3.5212329155679405,-1.6580984998891328
HPI_export_20250507_114100_958863,6.12198953120848,3.4920928234871336,-1.6277445387283842
HPI_export_20250507_114101_205399,6.225330492217508,3.433241400324003,-1.6063020641364696
HPI_export_20250507_114101_430415,6.175021517423122,3.445835511516704,-1.662231402598038
HPI_export_20250507_114101_674110,6.178549875110456,3.4441254515352435,-1.631588774585558
HPI_export_20250507_114101_916656,6.147529479394469,3.497213713330746,-1.6248028177689817
HPI_export_20250507_114102_169292,6.178728132904351,3.3924129004379076,-1.6105563243289638
HPI_export_20250507_114102_411952,6.051327798362564,3.5506476765071677,-1.689346343428231
HPI_export_20250507_114102_649432,6.2482231490585445,3.4127940682689686,-1.6270693871704693
HPI_export_20250507_114102_894632,6.085674045913447,3.4586704542137063,-1.649903119004189
HPI_export_20250507_114103_148410,6.0921241616433335,3.460009898509591,-1.6583921054074646
HPI_export_20250507_114103_399813,6.24706317704608,3.4561983886095664,-1.6300686574323058
