File,Dynamic_Field_Strength,Entropy,Drift,Max_Info_Force
HPI_export_20250502_102924_237135.csv,0.0,4.488003363296262,-0.0270700270687538,0.022
HPI_export_20250502_102925_405925.csv,0.05,4.448691083260153,0.37111757490779756,0.0235
HPI_export_20250502_102926_598522.csv,0.1,4.383281933829486,0.9371752609929082,0.051000000000000004
HPI_export_20250502_102927_753042.csv,0.15,4.446822969767138,1.059061276190964,0.061
HPI_export_20250502_102928_909426.csv,0.2,4.445769525021623,1.3244101200209384,0.046000000000000006
HPI_export_20250502_102930_085011.csv,0.25,4.468939937658481,1.4734904871909038,0.043
HPI_export_20250502_102931_237198.csv,0.3,4.421967696858732,1.545781795847583,0.109
HPI_export_20250502_102932_392194.csv,0.35,4.511599330130122,1.6260432898040849,0.063
HPI_export_20250502_102933_548544.csv,0.4,4.47421008331804,1.4872628500181555,0.081
HPI_export_20250502_102934_695677.csv,0.45,4.425406147329204,1.278309773095305,0.085
HPI_export_20250502_102935_850112.csv,0.5,4.403856376155516,1.187368912534742,0.081
HPI_export_20250502_102937_012110.csv,0.55,4.303262374732788,1.028173160929429,0.112
HPI_export_20250502_102938_186129.csv,0.6,4.3605349256123045,0.8467072721658373,0.09899999999999999
HPI_export_20250502_102939_347975.csv,0.65,4.488284002109711,0.7104064965128216,0.055
HPI_export_20250502_102940_514529.csv,0.7,4.471120800356201,0.49324753693331674,0.020999999999999998
HPI_export_20250502_102941_711342.csv,0.75,4.5035517880917535,0.4752201496346755,0.041
HPI_export_20250502_102943_193446.csv,0.8,4.52821274123978,0.382634751135499,0.034
HPI_export_20250502_102944_509296.csv,0.85,4.5813822637396,0.6069682365522622,0.027999999999999997
HPI_export_20250502_102945_723072.csv,0.9,4.503850687534336,0.5412930260497203,0.0235
HPI_export_20250502_102946_896028.csv,0.95,4.482394266925054,0.41270182136586253,0.028499999999999998
HPI_export_20250502_102948_062215.csv,1.0,4.510255676725871,0.42500991862091253,0.0355
HPI_export_20250502_102949_258068.csv,1.0,4.487709469673997,0.34683237437596576,0.0345
HPI_export_20250502_102950_417980.csv,1.0,4.522693492405773,0.42713922644232044,0.03
HPI_export_20250502_102951_580727.csv,1.0,4.514122218253267,0.4189217446224093,0.0295
HPI_export_20250502_102952_857649.csv,1.0,4.495350935610288,0.2295477489531521,0.0265
HPI_export_20250502_102954_047679.csv,1.0,4.436608326439948,0.27689682857016656,0.0335
HPI_export_20250502_102955_284619.csv,1.0,4.474948060865926,0.5035986051158954,0.037
HPI_export_20250502_102956_461667.csv,1.0,4.511565584644733,0.5453271039499596,0.033499999999999995
HPI_export_20250502_102957_624058.csv,1.0,4.449779889868314,0.3514007063655837,0.0315
HPI_export_20250502_102958_785093.csv,1.0,4.494045888608691,0.36326877700789456,0.0355
HPI_export_20250502_102959_945384.csv,1.0,4.526979286576321,0.600860755407065,0.0295
HPI_export_20250502_103001_158131.csv,1.0,4.493751966629464,0.4424847211856492,0.0295
HPI_export_20250502_103002_325139.csv,1.0,4.520324634906818,0.5905041943267001,0.0315
HPI_export_20250502_103003_507571.csv,1.0,4.486817131805513,0.5835387257657034,0.04
HPI_export_20250502_103004_781515.csv,1.0,4.495977412276764,0.41355922851912796,0.0285
HPI_export_20250502_103005_950132.csv,1.0,4.508880118518703,0.47093829539654436,0.034999999999999996
HPI_export_20250502_103007_207211.csv,1.0,4.497827047032058,0.3823888140345491,0.0335
HPI_export_20250502_103008_468964.csv,1.0,4.52542213680384,0.565090695458803,0.026
HPI_export_20250502_103009_769322.csv,1.0,4.496420594296318,0.4208239563225769,0.0305
HPI_export_20250502_103010_986950.csv,1.0,4.479464931651096,0.6609854537722569,0.0315
HPI_export_20250502_103012_235937.csv,1.0,4.540455279500316,0.34949535829931583,0.0235
